project,model,r2,Formula,changes,slope
jclouds,polynomial,0.7658246497578857,5.328205 * x^0 + 4.500236 * x^1 + -0.804954 * x^2 + 0.032722 * x^3,Decreasing,0.26666666666666666
jena,polynomial,0.9102431180760936,-857.505267 * x^0 + 2458.899401 * x^1 + -2875.448848 * x^2 + 1845.577416 * x^3 + -732.331874 * x^4 + 190.584161 * x^5 + -33.461619 * x^6 + 3.989699 * x^7 + -0.318327 * x^8 + 0.016262 * x^9 + -0.000481 * x^10 + 0.000006 * x^11,Increasing,0.07692307692307693
karaf,polynomial,0.7973735316072801,40.198723 * x^0 + -104.144495 * x^1 + 102.757659 * x^2 + -46.339939 * x^3 + 11.051978 * x^4 + -1.486074 * x^5 + 0.113192 * x^6 + -0.004557 * x^7 + 0.000075 * x^8,Decreasing,0.07142857142857142
knox,polynomial,0.8338869379013769,-28.219697 * x^0 + 53.390481 * x^1 + -32.168329 * x^2 + 8.875623 * x^3 + -1.216875 * x^4 + 0.080881 * x^5 + -0.002077 * x^6,Increasing,0.6666666666666666
lens,polynomial,0.8796247123384671,-8.666667 * x^0 + 16.925926 * x^1 + -5.325397 * x^2 + 0.462963 * x^3,Decreasing,0.3333333333333333
lucene-solr,polynomial,0.8551623092077492,6.037594 * x^0 + -3.814979 * x^1 + 0.537509 * x^2 + -0.016646 * x^3,No Change,0.0
manifoldcf,polynomial,0.7714853452558199,9.666667 * x^0 + -13.257343 * x^1 + 7.048951 * x^2 + -1.590035 * x^3 + 0.158508 * x^4 + -0.005769 * x^5,Decreasing,0.2
maven,polynomial,0.7016873935471691,1.210789 * x^0 + 2.117395 * x^1 + -0.865145 * x^2 + 0.102122 * x^3 + -0.003500 * x^4,Increasing,0.06666666666666667
metamodel,polynomial,0.8160418482995766,243.615520 * x^0 + -666.867843 * x^1 + 726.568676 * x^2 + -417.801271 * x^3 + 141.514660 * x^4 + -29.604208 * x^5 + 3.863057 * x^6 + -0.305852 * x^7 + 0.013431 * x^8 + -0.000251 * x^9,Decreasing,0.09090909090909091
mina,polynomial,0.7688007179952282,-24.128788 * x^0 + 42.406527 * x^1 + -23.085161 * x^2 + 5.708524 * x^3 + -0.712932 * x^4 + 0.043843 * x^5 + -0.001055 * x^6,No Change,0.0
mina-sshd,polynomial,0.7412000908349928,3.040664 * x^0 + -6.163630 * x^1 + 4.332291 * x^2 + -1.410453 * x^3 + 0.234984 * x^4 + -0.020462 * x^5 + 0.000886 * x^6 + -0.000015 * x^7,Increasing,0.058823529411764705
myfaces,polynomial,0.7107147663234662,-28.117084 * x^0 + 60.343587 * x^1 + -41.920814 * x^2 + 14.203434 * x^3 + -2.640687 * x^4 + 0.282852 * x^5 + -0.017402 * x^6 + 0.000571 * x^7 + -0.000008 * x^8,Decreasing,0.11764705882352941
ofbiz-framework,linear,0.8804347826086957,-0.900000 * x + 4.100000,Decreasing,0.6
olingo-odata4,polynomial,0.7207828143079932,0.333333 * x^0 + 9.472805 * x^1 + -3.687063 * x^2 + 0.513209 * x^3 + -0.023893 * x^4,Decreasing,0.6
oodt,polynomial,0.8517963564761281,538.458804 * x^0 + -1416.941619 * x^1 + 1474.130214 * x^2 + -817.967789 * x^3 + 273.005094 * x^4 + -58.050733 * x^5 + 8.049972 * x^6 + -0.725089 * x^7 + 0.040887 * x^8 + -0.001311 * x^9 + 0.000018 * x^10,No Change,0.0
oozie,polynomial,0.7742758641908435,-20.709091 * x^0 + 38.884556 * x^1 + -22.687999 * x^2 + 6.149744 * x^3 + -0.838408 * x^4 + 0.056012 * x^5 + -0.001462 * x^6,Increasing,0.09090909090909091
openmeetings,polynomial,0.7291280148423005,-0.700000 * x^0 + 0.450000 * x^1 + -0.022727 * x^2,Increasing,0.1
opennlp,polynomial,0.704850361180297,-1.615407 * x^0 + 2.970464 * x^1 + -1.829745 * x^2 + 0.509504 * x^3 + -0.070195 * x^4 + 0.004655 * x^5 + -0.000118 * x^6,No Change,0.0
pdfbox,polynomial,0.7323232323232289,-4.285714 * x^0 + 7.380231 * x^1 + -3.916667 * x^2 + 0.792929 * x^3 + -0.053030 * x^4,No Change,0.0
phoenix,polynomial,0.910796905982601,-10.619047 * x^0 + 15.855339 * x^1 + -3.635281 * x^2 + 0.247475 * x^3,Increasing,1.8888888888888888
pig,polynomial,1.0,258.000000 * x^0 + -648.980952 * x^1 + 624.463889 * x^2 + -304.087500 * x^3 + 82.055556 * x^4 + -12.400000 * x^5 + 0.980556 * x^6 + -0.031548 * x^7,Increasing,0.25
plc4x,polynomial,0.8887061403508782,-18.428571 * x^0 + 24.761905 * x^1 + -6.523810 * x^2 + 0.500000 * x^3,Increasing,1.0
polygene-java,polynomial,0.7031468531468354,-5.500000 * x^0 + 11.217366 * x^1 + -6.012529 * x^2 + 1.439394 * x^3 + -0.157634 * x^4 + 0.006410 * x^5,Increasing,0.1111111111111111
qpid-proton,polynomial,1.0,-4.000000 * x^0 + 9.500000 * x^1 + -4.000000 * x^2 + 0.500000 * x^3,No Change,0.0
reef,linear,0.7875000000000001,-2.100000 * x + 9.300000,Decreasing,1.6
servicemix,logarithmic,0.7762986798660902,-0.732806 * log(x) + 0.832224,Decreasing,0.25
shindig,linear,0.7648305084745763,-1.900000 * x + 12.100000,Decreasing,1.2
shiro,polynomial,0.7978993274803653,141.689299 * x^0 + -367.040146 * x^1 + 381.455011 * x^2 + -207.965465 * x^3 + 66.441777 * x^4 + -13.068058 * x^5 + 1.599915 * x^6 + -0.118641 * x^7 + 0.004871 * x^8 + -0.000085 * x^9,Decreasing,0.08333333333333333
skywalking,polynomial,0.7679047364321444,-19.383333 * x^0 + 14.185606 * x^1 + -1.102273 * x^2,Increasing,0.7
sling-org-apache-sling-models-impl,polynomial,0.764542483658851,-19.509091 * x^0 + 37.330357 * x^1 + -22.176597 * x^2 + 6.359978 * x^3 + -0.936165 * x^4 + 0.067728 * x^5 + -0.001904 * x^6,Increasing,0.09090909090909091
solr,linear,0.7370444796001103,0.964992 * x + -3.779221,Increasing,0.9545454545454546
spark,polynomial,0.8478165908462034,-177.142246 * x^0 + 395.419335 * x^1 + -323.124789 * x^2 + 130.033771 * x^3 + -28.932883 * x^4 + 3.736861 * x^5 + -0.278721 * x^6 + 0.011129 * x^7 + -0.000184 * x^8,Increasing,0.2857142857142857
sqoop,linear,0.7971698113207548,1.300000 * x + -2.300000,Increasing,1.0
storm,polynomial,0.7094607315761163,-6.227273 * x^0 + 5.692308 * x^1 + -0.426573 * x^2,Increasing,0.08333333333333333
stratos,polynomial,0.8363636363636364,-2.750000 * x^0 + 3.650000 * x^1 + -0.750000 * x^2,No Change,0.0
struts,polynomial,0.7536074874996247,21.421682 * x^0 + -24.173347 * x^1 + 12.114456 * x^2 + -2.845539 * x^3 + 0.347495 * x^4 + -0.022754 * x^5 + 0.000758 * x^6 + -0.000010 * x^7,Decreasing,0.3
syncope,polynomial,0.7967263621128711,19.615646 * x^0 + -45.603472 * x^1 + 39.637510 * x^2 + -17.317445 * x^3 + 4.251260 * x^4 + -0.610692 * x^5 + 0.050798 * x^6 + -0.002261 * x^7 + 0.000042 * x^8,Increasing,0.07692307692307693
tajo,polynomial,0.7629464285714285,-1.700000 * x^0 + 1.967857 * x^1 + -0.232143 * x^2,Increasing,0.3333333333333333
tapestry-5,polynomial,0.7134324797961571,1.490970 * x^0 + 1.505336 * x^1 + -0.208908 * x^2 + 0.006860 * x^3,Decreasing,0.10526315789473684
tez,polynomial,0.7137165435037727,-9.466667 * x^0 + 20.767972 * x^1 + -9.308275 * x^2 + 1.968590 * x^3 + -0.190793 * x^4 + 0.006795 * x^5,Increasing,0.4
whirr,polynomial,1.0,-21.000000 * x^0 + 41.500000 * x^1 + -19.000000 * x^2 + 2.500000 * x^3,Decreasing,0.75
ws-axiom,polynomial,0.8871794871794865,1.181818 * x^0 + -1.900738 * x^1 + 0.849942 * x^2 + -0.122572 * x^3 + 0.005536 * x^4,Increasing,0.09090909090909091
xmlgraphics-commons,polynomial,0.817082113291212,82.805575 * x^0 + -219.882625 * x^1 + 229.970728 * x^2 + -126.866058 * x^3 + 41.397297 * x^4 + -8.448871 * x^5 + 1.105592 * x^6 + -0.092627 * x^7 + 0.004801 * x^8 + -0.000140 * x^9 + 0.000002 * x^10,Increasing,0.06666666666666667
