Project,Latest Tag ID,year,date
ant-ivy,2.1.0,2009,2009-09-25
ant-ivy,2.0.0-rc2,2008,2008-11-04
ant-ivy,2.2.0,2010,2010-09-23
ant-ivy,2.3.0,2013,2013-01-21
ant-ivy,2.3.0-rc2,2012,2012-11-05
ant-ivy,2.4.0,2014,2014-12-13
ant-ivy,2.5.0-rc1,2018,2018-04-11
ant-ivy,2.5.0_Vote_RC1,2019,2019-10-20
ant-ivy,rel/2.5.1,2022,2022-11-01
ant-ivyde,1.2.0,2007,2007-12-02
ant-ivyde,2.0.0.beta1,2008,2008-12-08
ant-ivyde,2.0.0.final-200907011148-RELEASE,2009,2009-07-09
ant-ivyde,2.1.0,2010,2010-08-11
ant-ivyde,2.2.0.beta1,2012,2012-03-28
ant-ivyde,2.2.0.final,2013,2013-11-09
ant-ivyde,2.3.0-rc1,2018,2018-06-25
any23,any23-0.1-snapshot,2012,2012-09-11
any23,any23-0.9.0,2013,2013-10-28
any23,any23-1.1,2014,2014-10-16
any23,any23-2.1,2017,2017-09-15
any23,any23-2.2,2018,2018-03-01
any23,any23-2.3,2019,2019-02-11
any23,any23-2.4,2020,2020-09-20
any23,any23-2.5,2021,2021-08-27
any23,any23-2.7,2022,2022-02-21
apex-core,v3.2.0-incubating,2015,2015-10-23
apex-core,v3.5.0,2016,2016-12-06
apex-core,v3.6.0,2017,2017-05-01
apex-core,v3.7.0,2018,2018-04-14
archiva,archiva-1.2-M1,2008,2008-11-07
archiva,archiva-1.2.2,2009,2009-08-27
archiva,archiva-1.3.3,2010,2010-12-15
archiva,archiva-1.4-M2,2011,2011-12-16
archiva,archiva-1.4-M4,2013,2013-05-27
archiva,archiva-2.1.1,2014,2014-09-01
archiva,archiva-1.4-M3,2012,2012-10-03
archiva,archiva-2.2.0,2015,2015-02-24
archiva,without_jdo,2016,2016-12-30
archiva,archiva-2.2.10,2023,2023-03-16
archiva,archiva-2.2.3,2017,2017-05-12
archiva,archiva-2.2.4,2019,2019-04-23
archiva,archiva-2.2.5,2020,2020-06-14
archiva,archiva-2.2.7,2021,2021-12-19
archiva,archiva-2.2.9,2022,2022-10-04
aries,org.apache.aries.jndi-0.3.1,2011,2011-12-22
aries,org.apache.aries.blueprint.core-1.0.1,2012,2012-09-25
aries,org.apache.aries.jpa.container-1.0.3,2015,2015-12-16
aries,blueprint-maven-plugin-1.0.0,2014,2014-11-10
aries,org.apache.aries.proxy-1.1.3,2018,2018-12-08
aries,org.apache.aries.proxy.impl-1.0.6,2016,2016-12-19
aries,org.apache.aries.jmx.blueprint.api-1.2,2017,2017-12-29
aries,blueprint-parser-1.2.0,2013,2013-12-17
aries,org.apache.aries.proxy-1.1.11,2021,2021-07-26
aries,org.apache.aries.proxy-1.1.6,2019,2019-09-16
aries,spifly-1.3.6,2022,2022-12-11
aries,spifly-1.3.2,2020,2020-10-15
avro,release-1.4.1,2010,2010-10-14
avro,release-1.10.1,2020,2020-11-17
avro,release-1.11.0,2021,2021-10-20
avro,release-1.11.1,2022,2022-07-26
avro,release-1.6.1,2011,2011-11-15
avro,release-1.7.3,2012,2012-12-07
avro,release-1.7.5,2013,2013-08-19
avro,release-1.7.7,2014,2014-07-24
avro,release-1.8.2-rc1,2016,2016-11-06
avro,release-1.8.0-rc1,2015,2015-12-16
avro,release-1.8.2,2017,2017-04-14
avro,release-1.9.1,2019,2019-08-28
axis-axis2-java-core,v1.5.4,2010,2010-12-19
axis-axis2-java-core,v1.5.6,2011,2011-08-30
axis-axis2-java-core,v1.6.2,2012,2012-04-17
axis-axis2-java-core,v1.6.4,2015,2015-12-28
axis-axis2-java-core,v1.7.4,2016,2016-10-21
axis-axis2-java-core,v1.7.7,2017,2017-11-20
axis-axis2-java-core,v1.7.9,2018,2018-11-15
axis-axis2-java-core,v1.8.0,2021,2021-08-01
axis-axis2-java-core,v1.8.2,2022,2022-07-13
beam,v0.4.0,2016,2016-12-29
beam,v2.27.0-RC1,2020,2020-12-22
beam,v2.17.0,2019,2019-12-16
beam,sdks/v2.35.0,2021,2021-12-23
beam,jupyterlab-sidepanel-v3.0.0,2022,2022-10-04
beam,v2.2.0,2017,2017-11-16
beam,v0.3.20141216,2014,2014-12-16
beam,v1.3.0,2015,2015-12-02
beam,v2.9.0,2018,2018-12-05
bigtop,rel/1.1.0,2016,2016-01-30
bigtop,release-1.2.1,2017,2017-11-12
bigtop,release-1.3.0,2018,2018-11-27
bigtop,rel/1.5.0,2020,2020-12-07
bigtop,rel/3.0.0,2021,2021-10-15
bigtop,rel/3.1.1,2022,2022-07-23
bigtop,rel/3.2.0,2023,2023-01-16
bigtop,release-0.2.0-incubating-RC2,2011,2011-11-04
bigtop,release-0.5.0-RC0,2012,2012-12-10
bigtop,release-0.7.0,2013,2013-10-29
bigtop,release-0.8.0,2014,2014-09-27
bigtop,release-1.0.0,2015,2015-08-07
bigtop,release-1.4.0,2019,2019-06-16
bookkeeper,release-4.0.0,2011,2011-12-02
bookkeeper,release-4.1.0,2012,2012-06-07
bookkeeper,release-4.10.0,2019,2019-10-31
bookkeeper,release-4.12.1,2020,2020-12-28
bookkeeper,release-4.14.4,2021,2021-12-22
bookkeeper,release-4.14.6,2022,2022-12-19
bookkeeper,release-4.16.1,2023,2023-04-15
bookkeeper,release-4.2.2,2013,2013-10-02
bookkeeper,release-4.2.4,2014,2014-12-19
bookkeeper,release-4.3.2,2015,2015-11-17
bookkeeper,release-4.4.0,2016,2016-05-05
bookkeeper,release-4.6.0,2017,2017-12-26
bookkeeper,release-4.7.3,2018,2018-12-05
brooklyn,apache-brooklyn-0.8.0-incubating,2015,2015-09-01
brooklyn,rel/apache-brooklyn-0.10.0,2016,2016-12-21
brooklyn,rel/apache-brooklyn-1.0.0,2020,2020-02-18
brooklyn,rel/apache-brooklyn-0.12.0,2017,2017-09-18
brooklyn,rel/apache-brooklyn-1.0.0-M1,2018,2018-09-11
bval,0.5,2012,2012-09-17
bval,1.1.0,2015,2015-06-05
bval,1.1.2,2016,2016-10-28
bval,2.0.0-rc2,2018,2018-10-23
bval,2.0.3,2019,2019-08-12
bval,2.0.5,2020,2020-10-20
bval,2.0.6,2022,2022-06-08
calcite,calcite-1.15.0,2017,2017-12-05
calcite,calcite-1.18.0,2018,2018-12-18
calcite,calcite-0.9.2-incubating,2014,2014-11-05
calcite,calcite-1.5.0,2015,2015-11-06
calcite,calcite-avatica-1.9.0,2016,2016-10-26
calcite,calcite-1.21.0,2019,2019-09-06
calcite,calcite-1.26.0,2020,2020-10-03
calcite,calcite-1.29.0,2021,2021-12-20
calcite,calcite-1.32.0,2022,2022-09-07
calcite,calcite-1.34.0,2023,2023-03-10
calcite,optiq-parent-0.4.16,2013,2013-11-24
camel,camel-2.1.0,2009,2009-12-01
camel,camel-1.6.4,2010,2010-12-12
camel,camel-2.10.3,2012,2012-12-03
camel,camel-2.12.2,2013,2013-11-22
camel,camel-2.14.1,2014,2014-12-10
camel,camel-2.15.5,2015,2015-11-23
camel,camel-2.16.5,2016,2016-12-16
camel,camel-2.20.1,2017,2017-11-10
camel,camel-2.23.0,2018,2018-11-24
camel,camel-2.24.3,2019,2019-12-19
camel,camel-2.25.3,2020,2020-12-20
camel,camel-3.11.5,2021,2021-12-23
camel,camel-2.9.0,2011,2011-12-27
camel,camel-3.20.0,2022,2022-12-16
camel,camel-4.0.0-M3,2023,2023-04-28
carbondata,apache-CarbonData-1.6.1-rc1,2019,2019-10-07
carbondata,apache-carbondata-0.2.0-incubating,2016,2016-11-09
carbondata,apache-carbondata-1.2.0,2017,2017-09-22
carbondata,apache-carbondata-2.3.0-rc2,2022,2022-01-19
carbondata,apache-carbondata-1.5.1,2018,2018-11-30
carbondata,apache-carbondata-2.1.0-rc2,2020,2020-11-03
carbondata,apache-carbondata-2.3.0-rc1,2021,2021-12-20
cassandra,3.0.29-tentative,2023,2023-05-05
cassandra,cassandra-0.7.0-rc3,2010,2010-12-25
cassandra,cassandra-0.8.9,2011,2011-12-14
cassandra,cassandra-1.2.0,2012,2012-12-29
cassandra,cassandra-2.0.4,2013,2013-12-27
cassandra,cassandra-2.1.2,2014,2014-11-05
cassandra,cassandra-3.0.2,2015,2015-12-15
cassandra,cassandra-3.0.10,2016,2016-11-11
cassandra,cassandra-3.11.1,2017,2017-10-02
cassandra,cassandra-3.0.17,2018,2018-07-16
cassandra,cassandra-2.2.15,2019,2019-10-24
cassandra,cassandra-4.0-beta4,2020,2020-12-18
cassandra,cassandra-4.0.1,2021,2021-08-30
cassandra,cassandra-4.1.0,2022,2022-12-07
cayenne,3.1M1,2010,2010-11-14
cayenne,3.1M3,2011,2011-09-26
cayenne,3.0RC1,2009,2009-12-27
cayenne,3.0M2,2007,2007-10-28
cayenne,3.0M5,2008,2008-12-07
cayenne,3.1.2,2017,2017-11-13
cayenne,4.0.1,2018,2018-12-20
cayenne,3.1B1,2012,2012-05-28
cayenne,cayenne-parent-3.2M1,2013,2013-07-07
cayenne,4.1.RC2,2019,2019-10-25
cayenne,4.0.3,2023,2023-02-14
cayenne,4.0.M2,2015,2015-02-26
cayenne,4.0.M4,2016,2016-12-06
cayenne,4.2.M2,2020,2020-10-06
cayenne,4.1.1,2021,2021-12-20
cayenne,4.2.RC2,2022,2022-12-01
cayenne,cayenne-parent-3.1,2014,2014-09-20
chainsaw,PRE_CHAINSAW_MODEL_CONVERSION,2003,2003-09-03
chainsaw,PRE_UGLI_MOVE,2004,2004-12-28
chainsaw,TAG_CHAINSAW2_MOVE,2005,2005-02-21
chainsaw,release_20060302,2006,2006-03-02
chainsaw,v1_2_6,2002,2002-07-31
chainsaw,v1_2_alpha0,2001,2001-04-14
chainsaw,v_1_0,2000,2000-12-14
chemistry-opencmis,chemistry-opencmis-0.6.0,2011,2011-12-12
chemistry-opencmis,chemistry-opencmis-0.10.0,2013,2013-08-19
chemistry-opencmis,chemistry-opencmis-0.12.0,2014,2014-08-22
chemistry-opencmis,chemistry-opencmis-0.13.0,2015,2015-04-06
chemistry-opencmis,chemistry-opencmis-1.0.0,2016,2016-09-08
chemistry-opencmis,chemistry-opencmis-0.8.0,2012,2012-10-20
chemistry-opencmis,chemistry-opencmis-1.1.0,2017,2017-04-05
chukwa,chukwa-0.7.0,2015,2015-12-21
chukwa,chukwa-0.1.2-rc2,2013,2013-11-02
chukwa,chukwa-0.6.0,2014,2014-11-22
chukwa,chukwa-0.8.0,2016,2016-06-20
clerezza,201508-1,2015,2015-11-18
clerezza,201604,2016,2016-04-23
clerezza,jaxrs.rdf.providers-2.0.0,2020,2020-10-02
clerezza,release20130710-reactor-0.3,2013,2013-07-11
clerezza,clerezza-parent-8,2019,2019-11-04
clerezza,typehandlerspace-0.2,2014,2014-09-22
click,click-2.3.0-M1,2010,2010-11-22
click,clickide-2.3.0.0,2011,2011-03-29
cloudstack,2.1.6,2010,2010-11-22
cloudstack,acton-beta1-prerelease-1,2011,2011-12-07
cloudstack,4.0.0-incubating,2012,2012-10-08
cloudstack,4.2.1,2013,2013-12-16
cloudstack,4.9.3.0,2017,2017-08-28
cloudstack,4.11.2.0,2018,2018-11-13
cloudstack,4.13.0.0,2019,2019-08-28
cloudstack,4.14.0.0,2020,2020-05-11
cloudstack,4.16.0.0,2021,2021-11-04
cloudstack,4.17.2.0,2022,2022-12-14
cloudstack,4.18.0.0,2023,2023-03-11
cloudstack,4.3.2,2014,2014-12-15
cloudstack,4.6.2,2015,2015-12-13
cloudstack,4.8.2.0,2016,2016-12-10
cocoon,RELEASE_2_1_5_1,2004,2004-07-09
cocoon,RELEASE_2_1_10,2006,2006-12-21
cocoon,RELEASE_2_1_3,2003,2003-11-13
cocoon,RELEASE_2_1_8,2005,2005-11-17
cocoon,cocoon-rcl-spring-reloader,2007,2007-05-21
cocoon,cocoon-2.1,2020,2020-07-17
cocoon,cocoon-2.2,2019,2019-02-16
cocoon,cocoon-block-deployment,2009,2009-04-04
cocoon,cocoon-jnet,2011,2011-01-16
commons-bcel,BCEL_5_0,2011,2011-07-22
commons-bcel,BCEL_6_0,2016,2016-07-14
commons-bcel,BCEL_6_0_RC3,2014,2014-09-27
commons-bcel,BCEL_6_0_RC4,2015,2015-08-10
commons-bcel,BCEL_6_2,2017,2017-12-08
commons-bcel,commons-bcel-6.4.1-RC1,2019,2019-09-26
commons-bcel,commons-bcel-6.5.0-RC1,2020,2020-06-05
commons-bcel,commons-bcel-6.7.0-RC1,2022,2022-11-28
commons-beanutils,BEANUTILS_1_8_0_BETA,2007,2007-08-01
commons-beanutils,BEANUTILS_1_8_0,2008,2008-08-31
commons-beanutils,BEANUTILS_1_8_2,2009,2009-11-12
commons-beanutils,BEANUTILS_1_8_3,2010,2010-03-28
commons-beanutils,BEANUTILS_1_9_0,2013,2013-12-11
commons-beanutils,BEANUTILS_1_9_2,2014,2014-05-29
commons-beanutils,BEANUTILS_1_9_3,2016,2016-09-25
commons-beanutils,commons-beanutils-1.9.4,2019,2019-07-28
commons-bsf,bsf-2.4.0,2011,2011-08-17
commons-chain,CHAIN_1_0,2007,2007-07-29
commons-chain,CHAIN_1_2,2008,2008-06-01
commons-cli,CLI_1_0,2007,2007-07-29
commons-cli,cli-1.2,2010,2010-06-19
commons-cli,cli-1.2-RC7,2009,2009-03-16
commons-cli,cli-1.3.1,2015,2015-06-17
commons-cli,cli-1.4,2017,2017-03-13
commons-cli,commons-cli-1.5.0,2021,2021-10-23
commons-codec,1.10,2014,2014-11-10
commons-codec,1.7,2012,2012-09-14
commons-codec,1.9,2013,2013-12-24
commons-codec,CODEC_1_1,2007,2007-07-29
commons-codec,CODEC_1_4,2011,2011-12-07
commons-codec,CODEC_1_4_RC4,2009,2009-08-06
commons-codec,commons-codec-1.11,2017,2017-10-20
commons-codec,commons-codec-1.14,2019,2019-12-30
commons-codec,commons-codec-1.15-RC1,2020,2020-08-28
commons-codec,commons-codec-1.16-rc1,2022,2022-01-21
commons-collections,collections-0-01,2007,2007-07-29
commons-collections,collections-3.2.1,2011,2011-12-07
commons-collections,collections-3.2.1-RC1,2008,2008-04-11
commons-collections,collections-4.1,2015,2015-11-27
commons-collections,pre-generics-merge,2009,2009-09-15
commons-collections,collections-4.0,2013,2013-11-24
commons-collections,collections-4.3,2018,2018-12-26
commons-collections,commons-collections-4.4-RC1,2019,2019-07-05
commons-compress,COMPRESS-1.13-RC1,2016,2016-12-25
commons-compress,1.15-RC1,2017,2017-10-14
commons-compress,1.18-RC1,2018,2018-08-13
commons-compress,1.19-RC1,2019,2019-08-24
commons-compress,1.20-RC1,2020,2020-02-02
commons-compress,1.21-RC1,2021,2021-07-09
commons-compress,COMPRESS-1.10,2015,2015-08-18
commons-compress,COMPRESS-1.6,2013,2013-10-26
commons-compress,COMPRESS-1.9,2014,2014-10-09
commons-compress,COMPRESS_1.3,2011,2011-11-01
commons-compress,COMPRESS_1.4.1,2012,2012-05-23
commons-compress,commons-compress-1.0,2009,2009-05-14
commons-compress,commons-compress-1.1,2010,2010-08-13
commons-compress,commons-compress-1.22,2022,2022-10-25
commons-compress,commons-compress-1.23.0-RC1,2023,2023-03-18
commons-configuration,CONFIGURATION_1_5,2007,2007-11-24
commons-configuration,CONFIGURATION_1_10,2013,2013-10-28
commons-configuration,CONFIGURATION_1_6,2008,2008-12-25
commons-configuration,CONFIGURATION_1_7,2011,2011-09-08
commons-configuration,CONFIGURATION_1_9,2012,2012-08-22
commons-configuration,CONFIGURATION_2_1,2016,2016-08-20
commons-configuration,CONFIGURATION_2_0_alpha2,2014,2014-12-19
commons-configuration,CONFIGURATION_2_0_beta2,2015,2015-12-05
commons-configuration,CONFIGURATION_2_2,2017,2017-10-12
commons-configuration,CONFIGURATION_2_4,2018,2018-10-29
commons-configuration,commons-configuration-2.6-RC1,2019,2019-09-13
commons-configuration,commons-configuration-2.7-RC2,2020,2020-03-09
commons-configuration,commons-configuration-2.8.0-RC3,2022,2022-06-29
commons-configuration,commons-configuration-2.9.0-RC1,2023,2023-03-25
commons-crypto,CRYPTO-1.0.0,2016,2016-07-25
commons-crypto,commons-crypto-1.1.0-RC1,2020,2020-08-28
commons-crypto,rel/commons-crypto-1.2.0,2023,2023-01-15
commons-csv,rel/commons-csv-1.1,2014,2014-11-27
commons-csv,commons-csv-1.10.0-RC1,2022,2022-10-16
commons-csv,commons-csv-1.10.0-RC2,2023,2023-01-28
commons-csv,commons-csv-1.7-RC1,2019,2019-06-01
commons-csv,commons-csv-1.8-RC2,2020,2020-02-01
commons-csv,commons-csv-1.9.0-RC1,2021,2021-07-24
commons-csv,rel/commons-csv-1.2,2015,2015-08-25
commons-csv,rel/commons-csv-1.4,2016,2016-05-29
commons-csv,csv-1.5-RC1,2017,2017-08-27
commons-csv,csv-1.6-RC1,2018,2018-09-19
commons-daemon,COMMONS_DAEMON_1_0,2007,2007-07-29
commons-daemon,COMMONS_DAEMON_1_0_11,2012,2012-11-27
commons-daemon,COMMONS_DAEMON_1_0_15,2013,2013-04-02
commons-daemon,COMMONS_DAEMON_1_0_4,2010,2010-10-25
commons-daemon,JAKARTA_COMMONS_SANDBOX,2011,2011-11-24
commons-daemon,COMMONS_DAEMON_1_1_0,2017,2017-11-22
commons-daemon,COMMONS_DAEMON_1_2_2,2019,2019-09-30
commons-daemon,COMMONS_DAEMON_1_2_3,2020,2020-08-27
commons-daemon,COMMONS_DAEMON_1_2_4_RC2,2021,2021-01-14
commons-daemon,COMMONS_DAEMON_2_0_6,2009,2009-12-11
commons-daemon,commons-daemon-1.3.1,2022,2022-05-03
commons-dbcp,DBCP_1_0,2007,2007-07-29
commons-dbcp,DBCP_1_3,2010,2010-02-14
commons-dbcp,DBCP_1_3_RC6,2009,2009-12-29
commons-dbcp,DBCP_2_0,2014,2014-05-25
commons-dbcp,DBCP_2_1_1,2015,2015-08-07
commons-dbcp,DBCP_2_2_0,2017,2017-12-21
commons-dbcp,DBCP_2_2_RC2,2016,2016-08-07
commons-dbcp,commons-dbcp-2.5.0,2018,2018-07-15
commons-dbcp,commons-dbcp-2.7.0,2019,2019-07-31
commons-dbcp,commons-dbcp-2.8.0-RC1,2020,2020-09-21
commons-dbcp,commons-dbcp-2.9.0-RC1,2021,2021-07-31
commons-dbutils,DBUTILS_1_0,2007,2007-07-29
commons-dbutils,DBUTILS_1_3_RC3,2009,2009-11-08
commons-dbutils,commons-dbutils-1.5,2011,2011-12-21
commons-dbutils,DBUTILS_1_5,2012,2012-07-20
commons-dbutils,DBUTILS_1_6,2014,2014-07-20
commons-dbutils,DBUTILS_1_6_RC1,2013,2013-06-04
commons-dbutils,DBUTILS_1_7,2017,2017-07-16
commons-dbutils,DBUTILS_1_8_RC2,2020,2020-01-08
commons-digester,DIGESTER3_3_2,2011,2011-12-13
commons-digester,DIGESTER_1_0,2007,2007-07-29
commons-digester,DIGESTER_1_8_1,2008,2008-12-31
commons-digester,DIGESTER_2_1,2010,2010-09-25
commons-email,EMAIL_1_1,2007,2007-09-27
commons-email,EMAIL_1_2,2009,2009-11-01
commons-email,EMAIL_1_3_2,2013,2013-10-24
commons-email,EMAIL_1_3_3,2014,2014-07-09
commons-email,EMAIL_1_3_RC1,2010,2010-11-06
commons-email,EMAIL_1_3_RC2,2011,2011-12-05
commons-email,EMAIL_1_3_RC6,2012,2012-12-16
commons-email,EMAIL_1_4,2015,2015-05-23
commons-email,EMAIL_1_5,2017,2017-08-01
commons-exec,1.3,2014,2014-11-06
commons-exec,1.2-RC1,2013,2013-12-30
commons-exec,EXEC_1_1,2010,2010-10-19
commons-exec,EXEC_1_0_1,2009,2009-10-24
commons-exec,EXEC_1_0_0_RC1,2008,2008-12-16
commons-fileupload,FILEUPLOAD_1_0,2007,2007-07-29
commons-fileupload,FILEUPLOAD_1_3,2013,2013-03-27
commons-fileupload,FILEUPLOAD_1_3_1,2014,2014-02-07
commons-fileupload,commons-fileupload-1.3.3-RC4,2016,2016-12-04
commons-fileupload,commons-fileupload-1.2.1,2008,2008-02-16
commons-fileupload,commons-fileupload-1.2.2,2010,2010-07-14
commons-fileupload,commons-fileupload-1.3.3,2017,2017-06-09
commons-fileupload,commons-fileupload-1.4,2018,2018-12-24
commons-fileupload,commons-fileupload-1.5,2023,2023-02-01
commons-functor,FUNCTOR_1_0_RC1,2011,2011-10-20
commons-geometry,commons-geometry-1.0-beta1-rc3,2020,2020-07-15
commons-geometry,commons-geometry-1.0-rc4,2021,2021-08-16
commons-imaging,IMAGING_1_0_RC3,2012,2012-09-24
commons-imaging,IMAGING_1_0_RC6,2013,2013-11-24
commons-imaging,commons-imaging-1.0-alpha1,2019,2019-04-27
commons-imaging,commons-imaging-1.0-alpha1-RC2,2018,2018-10-30
commons-imaging,commons-imaging-1.0-alpha2,2020,2020-08-07
commons-imaging,commons-imaging-1.0-alpha3-RC2,2022,2022-05-13
commons-io,2.2,2012,2012-06-19
commons-io,2.5,2016,2016-05-06
commons-io,IO_1_0,2007,2007-07-29
commons-io,commons-io-1.4,2008,2008-01-21
commons-io,commons-io-2.0.1,2010,2010-12-26
commons-io,commons-io-2.1,2011,2011-10-11
commons-io,commons-io-2.11.0-RC1,2021,2021-07-09
commons-io,commons-io-2.12.0-RC1,2023,2023-04-28
commons-io,commons-io-2.5-RC3,2015,2015-12-26
commons-io,commons-io-2.6,2017,2017-09-30
commons-io,commons-io-2.8.0-RC2,2020,2020-09-06
commons-jci,1.0,2007,2007-07-29
commons-jci,1.1,2013,2013-10-14
commons-jcs,1.2.6.6,2011,2011-07-24
commons-jcs,commons-jcs-2.0,2016,2016-12-25
commons-jcs,commons-jcs-2.0-RC1,2014,2014-11-11
commons-jcs,commons-jcs-2.0-beta-1,2015,2015-02-19
commons-jcs,commons-jcs-2.2.1-RC3,2017,2017-12-12
commons-jcs,commons-jcs-2.2.1-RC4,2018,2018-08-23
commons-jcs,commons-jcs-3.2-rc1,2023,2023-01-08
commons-jcs,commons-jcs3-3.0-rc1,2020,2020-08-16
commons-jcs,commons-jcs3-3.1,2021,2021-12-23
commons-jcs,commons-jcs3-3.1-rc2,2022,2022-01-03
commons-jelly,COMMONS-JELLY-1_0-beta-4,2007,2007-07-29
commons-jelly,commons-jelly-1.0.1,2017,2017-09-25
commons-jexl,1.0,2004,2004-09-06
commons-jexl,1.1,2006,2006-09-08
commons-jexl,2.0.1,2010,2010-03-31
commons-jexl,2.0-RC4,2009,2009-12-10
commons-jexl,COMMONS_JEXL_2_1-RC3,2011,2011-12-21
commons-jexl,COMMONS_JEXL_3_0,2015,2015-12-27
commons-jexl,COMMONS_JEXL_3_1,2017,2017-04-14
commons-jexl,COMMONS_JEXL-1_0,2007,2007-07-29
commons-jexl,COMMONS_JEXL_2_0,2012,2012-06-19
commons-jexl,commons-jexl-3.2.1-rc1,2021,2021-06-17
commons-jexl,commons-jexl-3.3-RC2,2023,2023-03-17
commons-jexl,v4.0-snapshot.2,2018,2018-12-25
commons-jexl,v4.0-snapshot.4,2019,2019-05-24
commons-jxpath,JXPATH_1_0,2007,2007-07-29
commons-jxpath,JXPATH_1_3,2008,2008-08-11
commons-lang,LANG_1_0,2007,2007-07-29
commons-lang,LANG_2_4,2008,2008-03-19
commons-lang,LANG_3_0_B3,2010,2010-07-26
commons-lang,LANG_3_1,2011,2011-11-15
commons-lang,LANG_3_3_2,2014,2014-04-09
commons-lang,LANG_3_2_RC2,2013,2013-12-28
commons-lang,LANG_3_4,2015,2015-04-06
commons-lang,LANG_3_5,2016,2016-10-02
commons-lang,LANG_3_7,2017,2017-11-04
commons-lang,LANG_3_8_1,2018,2018-09-19
commons-lang,commons-lang-3.11-RC2,2020,2020-07-12
