file_path,method,api
/ambari-server/src/test/java/org/apache/ambari/server/configuration/ConfigurationTest.java,methods,org.powermock.api.support.membermodification.MemberMatcher
/ambari-server/src/test/java/org/apache/ambari/server/configuration/ConfigurationTest.java,expectPrivate,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/configuration/ConfigurationTest.java,replayAll,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/configuration/ConfigurationTest.java,verifyAll,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/BlueprintConfigurationProcessorTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/BlueprintConfigurationProcessorTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,createStrictMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,reset,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ScaleClusterRequestTest.java,replay,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/WidgetResourceProviderTest.java,replayAll,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,createStrictMockAndExpectNew,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,mockStaticPartial,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,expectNew,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,expectNew,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,mock,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,withAnyArguments,org.powermock.api.mockito.expectation.WithAnyArguments<org.apache.ambari.server.controller.internal.ClientConfigResourceProvider.TarUtils>
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,whenNew,org.powermock.api.mockito.PowerMockito
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,replayAll,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,verifyAll,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,createStrictMockAndExpectNew,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,mockStaticPartial,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,expectNew,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,createNiceMockAndExpectNew,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,mockStatic,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,createNiceMock,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,expectNew,org.powermock.api.easymock.PowerMock
/ambari-server/src/test/java/org/apache/ambari/server/controller/internal/ClientConfigResourceProviderTest.java,replayAll,org.powermock.api.easymock.PowerMock
