Project Name ,test file,classes,path
archiva,MockNetworkProxyAdmin.java,MockNetworkProxyAdmin,archiva/archiva-modules/archiva-base/archiva-mock/src/main/java/org/apache/archiva/mock/MockNetworkProxyAdmin.java
archiva,MockProxyConnectorAdmin.java,MockProxyConnectorAdmin,archiva/archiva-modules/archiva-base/archiva-mock/src/main/java/org/apache/archiva/mock/MockProxyConnectorAdmin.java
archiva,MockRepositorySessionFactory.java,MockRepositorySessionFactory,archiva/archiva-modules/archiva-base/archiva-mock/src/main/java/org/apache/archiva/mock/MockRepositorySessionFactory.java
archiva,ArchivaIndexManagerMock.java,ArchivaIndexManagerMock,archiva/archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-default/src/test/java/org/apache/archiva/admin/mock/ArchivaIndexManagerMock.java
archiva,MavenIndexContextMock.java,MavenIndexContextMock,archiva/archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-default/src/test/java/org/apache/archiva/admin/mock/MavenIndexContextMock.java
archiva,MockAuditListener.java,MockAuditListener,archiva/archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-default/src/test/java/org/apache/archiva/admin/mock/MockAuditListener.java
archiva,MockMergedRemoteIndexesScheduler.java,MockMergedRemoteIndexesScheduler,archiva/archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-default/src/test/java/org/apache/archiva/admin/mock/MockMergedRemoteIndexesScheduler.java
archiva,MockRepositoryArchivaTaskScheduler.java,MockRepositoryArchivaTaskScheduler,archiva/archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-default/src/test/java/org/apache/archiva/admin/mock/MockRepositoryArchivaTaskScheduler.java
archiva,ArchivaIndexManagerMock.java,ArchivaIndexManagerMock,archiva/archiva-modules/archiva-base/archiva-repository-layer/src/test/java/org/apache/archiva/repository/mock/ArchivaIndexManagerMock.java
archiva,ManagedRepositoryContentMock.java,ManagedRepositoryContentMock,archiva/archiva-modules/archiva-base/archiva-repository-layer/src/test/java/org/apache/archiva/repository/mock/ManagedRepositoryContentMock.java
archiva,MetadataReaderMock.java,MetadataReaderMock,archiva/archiva-modules/archiva-base/archiva-repository-layer/src/test/java/org/apache/archiva/repository/mock/MetadataReaderMock.java
archiva,RemoteRepositoryContentMock.java,RemoteRepositoryContentMock,archiva/archiva-modules/archiva-base/archiva-repository-layer/src/test/java/org/apache/archiva/repository/mock/RemoteRepositoryContentMock.java
archiva,RepositoryContentProviderMock.java,RepositoryContentProviderMock,archiva/archiva-modules/archiva-base/archiva-repository-layer/src/test/java/org/apache/archiva/repository/mock/RepositoryContentProviderMock.java
